description,category,amount,date
Netflix subscription,Entertainment,910,01-01-2023
Groceries,Groceries,3822,01-01-2023
Taxi to airport,Transport,3142,01-01-2023
Paid house rent,Rent,516,02-01-2023
Exam registration fee,Education,4476,02-01-2023
Coffee,Dining,300,02-01-2023
Doctor consultation,Medical,3494,02-01-2023
Filled petrol,Transport,3221,03-01-2023
Amusement park visit,Entertainment,2969,03-01-2023
Uber ride to office,Transport,180,03-01-2023
Online shopping on Amazon,Shopping,1735,04-01-2023
Train ticket purchase,Travel,819,04-01-2023
Ordered pizza,Dining,2441,05-01-2023
Bought vegetables and fruits,Groceries,2483,05-01-2023
Bought a watch,Shopping,1234,05-01-2023
Bought new shoes,Shopping,4605,06-01-2023
Insurance renewal,Insurance,3435,06-01-2023
Weekly grocery run,Groceries,4167,06-01-2023
Health checkup,Medical,4893,07-01-2023
Eye test at optician,Medical,2954,07-01-2023
Bus fare,Transport,524,07-01-2023
Tuition fees payment,Education,1132,08-01-2023
Tea,Dining,113,09-01-2023
Bought new shoes,Shopping,2608,08-01-2023
Online shopping on Amazon,Shopping,2097,09-01-2023
Breakfast at cafe,Dining,2797,09-01-2023
Filled petrol,Transport,1025,09-01-2023
Paid house rent,Rent,1856,10-01-2023
Weekly grocery run,Groceries,239,10-01-2023
Bought college books,Education,2784,10-01-2023
Flight booking to Delhi,Travel,3055,11-01-2023
Amusement park visit,Entertainment,4708,11-01-2023
Spotify premium payment,Entertainment,1949,11-01-2023
Swiggy food order,Dining,1317,12-01-2023
Grocery shopping at local store,Groceries,1578,12-01-2023
Facial treatment,Personal Care,3252,13-01-2023
Movie tickets,Entertainment,3606,13-01-2023
Facial treatment,Personal Care,3940,13-01-2023
Ordered pizza,Dining,696,14-01-2023
Bus fare,Transport,2938,14-01-2023
Grocery shopping at local store,Groceries,2485,14-01-2023
Lunch with friends,Dining,650,15-01-2023
Course enrollment fee,Education,2413,15-01-2023
Haircut at salon,Personal Care,2111,15-01-2023
Travel package booking,Travel,291,16-01-2023
Tuition fees payment,Education,2091,16-01-2023
Insurance renewal,Insurance,2874,17-01-2023
Tuition fees payment,Education,2662,17-01-2023
Haircut at salon,Personal Care,1413,17-01-2023
Internet subscription,Utilities,1528,18-01-2023
Health checkup,Medical,2606,18-01-2023
Train ticket purchase,Travel,825,18-01-2023
Paid electricity bill,Utilities,4064,19-01-2023
Life insurance policy,Insurance,84,19-01-2023
Life insurance policy,Insurance,3202,19-01-2023
Movie tickets,Entertainment,2005,20-01-2023
Breakfast at cafe,Dining,1635,20-01-2023
Taxi to airport,Transport,3993,21-01-2023
Hotel reservation,Travel,3123,21-01-2023
Paid health insurance premium,Insurance,1071,21-01-2023
Mobile recharge,Utilities,3511,22-01-2023
Manicure session,Personal Care,2663,22-01-2023
Bought rice and lentils,Groceries,3893,22-01-2023
Car insurance payment,Insurance,1550,23-01-2023
Paid electricity bill,Utilities,4848,23-01-2023
Online course subscription,Education,211,24-01-2023
Room rent payment,Rent,4347,24-01-2023
Purchased milk and bread,Groceries,2031,24-01-2023
Advance rent for flat,Rent,1045,25-01-2023
Purchased a handbag,Shopping,4961,25-01-2023
Home insurance premium,Insurance,3392,25-01-2023
Filled petrol,Transport,4601,26-01-2023
Exam registration fee,Education,3848,26-01-2023
Online course subscription,Education,1325,26-01-2023
Paid health insurance premium,Insurance,1066,27-01-2023
Bought new shoes,Shopping,387,27-01-2023
Weekly grocery run,Groceries,928,28-01-2023
Tuition fees payment,Education,1126,28-01-2023
Internet subscription,Utilities,4937,28-01-2023
Breakfast at cafe,Dining,4043,29-01-2023
Hotel reservation,Travel,4909,29-01-2023
Spotify premium payment,Entertainment,429,29-01-2023
Purchased milk and bread,Groceries,542,30-01-2023
Amusement park visit,Entertainment,2112,30-01-2023
Haircut at salon,Personal Care,3934,30-01-2023
Grocery shopping at local store,Groceries,114,31-01-2023
Lunch with friends,Dining,2618,31-01-2023
Bought vegetables and fruits,Groceries,2077,01-02-2023
Travel package booking,Travel,2745,01-02-2023
Amusement park visit,Entertainment,1545,01-02-2023
Paid house rent,Rent,441,02-02-2023
Dental check-up,Medical,4564,02-02-2023
Internet subscription,Utilities,4524,02-02-2023
Doctor consultation,Medical,3611,03-02-2023
Breakfast at cafe,Dining,2328,03-02-2023
Weekly grocery run,Groceries,3149,03-02-2023
Grocery shopping at local store,Groceries,250,04-02-2023
Mobile recharge,Utilities,4925,04-02-2023
Eye test at optician,Medical,3154,05-02-2023
Life insurance policy,Insurance,4648,05-02-2023
Game purchase,Entertainment,2504,05-02-2023
Bought shampoo and soap,Personal Care,3695,06-02-2023
Bought shampoo and soap,Personal Care,854,06-02-2023
